iter	MultiRMSE
0	14.16310895
1	13.5132961
2	12.89200234
3	12.3235575
4	11.76728368
5	11.25842034
6	10.74672885
7	10.27590274
8	9.831962415
9	9.391517124
10	8.989322631
11	8.607363372
12	8.238437093
13	7.878574034
14	7.535299504
15	7.216163384
16	6.910688903
17	6.611778589
18	6.335696069
19	6.078422917
20	5.825779892
21	5.596187097
22	5.370337892
23	5.14981193
24	4.94196999
25	4.755921474
26	4.564995349
27	4.385894324
28	4.207877197
29	4.038316847
30	3.892986353
31	3.740987966
32	3.59722201
33	3.464314138
34	3.335303221
35	3.221345506
36	3.110451256
37	2.997388261
38	2.891543631
39	2.789664867
40	2.695051726
41	2.607144625
42	2.521645682
43	2.43712156
44	2.357440495
45	2.28503452
46	2.215283616
47	2.147059582
48	2.08019733
49	2.023933562
50	1.968910929
51	1.918724197
52	1.864470482
53	1.818271925
54	1.769233422
55	1.726258513
56	1.682439416
57	1.642187665
58	1.602619217
59	1.563835135
60	1.531582405
61	1.500377554
62	1.468197277
63	1.438935666
64	1.408668448
65	1.38129422
66	1.355985437
67	1.330526374
68	1.304081129
69	1.283327014
70	1.259042512
71	1.237733246
72	1.219434388
73	1.202247287
74	1.183515635
75	1.166503963
76	1.149347002
77	1.133256696
78	1.116416899
79	1.104788877
80	1.091353267
81	1.078587483
82	1.063453578
83	1.053304489
84	1.041804015
85	1.028512674
86	1.018505392
87	1.00740926
88	0.9966615417
89	0.9863489615
90	0.9769172273
91	0.9678755148
92	0.9579266793
93	0.9492323409
94	0.9410468269
95	0.9321444591
96	0.9241101191
97	0.9163551613
98	0.9079411097
99	0.8998421265
100	0.8921860545
101	0.8842732028
102	0.8777736864
103	0.8702215199
104	0.8663152872
105	0.8602090682
106	0.853892464
107	0.8467941536
108	0.8402277698
109	0.8336678588
110	0.8275546862
111	0.8226933358
112	0.8178570099
113	0.8124248042
114	0.8073456774
115	0.8018896181
116	0.7983854924
117	0.7968976147
118	0.791751728
119	0.7873216127
120	0.7830891555
121	0.7791397622
122	0.7736248645
123	0.7679330358
124	0.7641440678
125	0.7606409978
126	0.757313862
127	0.754470912
128	0.7510666543
129	0.7489256749
130	0.7456913662
131	0.7432874062
132	0.7403831709
133	0.7361854272
134	0.7337786139
135	0.7300022524
136	0.7250686051
137	0.7213165626
138	0.7173385239
139	0.7143520177
140	0.7101645875
141	0.7064961635
142	0.7023903387
143	0.699100246
144	0.6964528874
145	0.6928631718
146	0.6897851693
147	0.6866909575
148	0.6854060847
149	0.6830376945
150	0.6794559504
151	0.6779683293
152	0.6754374945
153	0.6720051855
154	0.669545476
155	0.666807253
156	0.6644131525
157	0.6621237551
158	0.6588795346
159	0.6559228395
160	0.655079445
161	0.6513876574
162	0.6489526995
163	0.6460517807
164	0.6453338341
165	0.6435607748
166	0.6411687695
167	0.639946695
168	0.6370445335
169	0.6352077646
170	0.6337352165
171	0.6312071479
172	0.6282272173
173	0.625808817
174	0.624072395
175	0.6216921237
176	0.6184215757
177	0.6178154051
178	0.6158356457
179	0.614978592
180	0.6131790425
181	0.6115916655
182	0.6083991905
183	0.6055013116
184	0.6043562783
185	0.6039913376
186	0.6019850729
187	0.5997354202
188	0.5969728237
189	0.5951746029
190	0.5923708181
191	0.5906427756
192	0.5897498548
193	0.5892599362
194	0.5869167079
195	0.5848271822
196	0.5835746018
197	0.5825367106
198	0.581868026
199	0.5799678372
200	0.5796062213
201	0.5773866535
202	0.574962161
