iter	Passed	Remaining
0	914	913738
1	1810	903481
2	2752	914896
3	3680	916425
4	4561	907812
5	5494	910265
6	6459	916316
7	7310	906448
8	8134	895668
9	8910	882148
10	9708	872839
11	10662	877904
12	11573	878723
13	12498	880278
14	13335	875723
15	14153	870415
16	14973	865820
17	15793	861626
18	16583	856236
19	17386	851953
20	18185	847799
21	18987	844066
22	19791	840715
23	20572	836623
24	21371	833483
25	22161	830217
26	22976	828021
27	23805	826397
28	24598	823637
29	25386	820819
30	26184	818470
31	26993	816555
32	27803	814724
33	28582	812092
34	29355	809381
35	30143	807176
36	30942	805352
37	31771	804314
38	32546	801977
39	33340	800183
40	34171	799283
41	34988	798076
42	35808	796956
43	36596	795145
44	37383	793362
45	38168	791578
46	38965	790097
47	39781	788990
48	40562	787234
49	41344	785547
50	42146	784250
51	42945	782921
52	43748	781703
53	44529	780086
54	45324	778759
55	46138	777761
56	46955	776818
57	47767	775804
58	48557	774458
59	49345	773083
60	50150	771994
61	50960	770990
62	51780	770132
63	52567	768801
64	53343	767331
65	54132	766054
66	54938	765045
67	55749	764099
68	56528	762729
69	57310	761412
70	58103	760251
71	58916	759366
72	59738	758592
73	60520	757325
74	61291	755931
75	62081	754781
76	62878	753728
77	63681	752744
78	64466	751563
79	65236	750214
80	66018	749026
81	66812	747971
82	67616	747041
83	68390	745780
84	69162	744517
85	69939	743312
86	70731	742274
87	71526	741270
88	72300	740067
89	73071	738835
90	73855	737739
91	74647	736734
92	75456	735903
93	76232	734754
94	77002	733551
95	77788	732510
96	78577	731499
97	79368	730516
98	80146	729411
99	80921	728290
100	81700	727212
101	82485	726192
102	83285	725314
103	84070	724295
104	84845	723206
105	85628	722184
106	86414	721200
107	87211	720305
108	88009	719418
109	88783	718340
110	89562	717307
111	90356	716401
112	91160	715571
113	91955	714674
114	92730	713618
115	93520	712688
116	94300	711689
117	95096	710805
118	95911	710064
119	96690	709064
120	97482	708156
121	98278	707280
122	99069	706373
123	99866	705508
124	100632	704426
125	101411	703442
126	102188	702444
127	102977	701536
128	103768	700640
129	104538	699602
130	105307	698569
131	106103	697714
132	106889	696793
133	107685	695937
134	108459	694944
135	109227	693918
136	110008	692973
137	110799	692093
138	111607	691326
139	112383	690357
140	113154	689356
141	113943	688477
142	114735	687608
143	115538	686810
144	116328	685937
145	117095	684928
146	117872	683983
147	118663	683116
148	119461	682291
149	120252	681432
150	121020	680442
151	121814	679594
152	122618	678809
153	123438	678112
154	124222	677210
155	125004	676307
156	125788	675412
157	126593	674630
158	127408	673901
159	128196	673031
160	129073	672625
161	129890	671901
